ISim log file
Running: D:\repo\avmis\SCHEME_TEST_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb D:/repo/avmis/SCHEME_TEST_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
WARNING: A WEBPACK license was found.
WARNING: Please use Xilinx License Configuration Manager to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 500000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
at 148155 ns: Error: Test error!
at 148545 ns: Error: Test error!
at 148640 ns: Error: Test error!
at 148695 ns: Error: Test error!
at 148750 ns: Error: Test error!
at 149140 ns: Error: Test error!
at 149235 ns: Error: Test error!
at 149290 ns: Error: Test error!
at 149345 ns: Error: Test error!
at 149735 ns: Error: Test error!
at 149830 ns: Error: Test error!
at 149885 ns: Error: Test error!
at 149940 ns: Error: Test error!
at 150330 ns: Error: Test error!
at 150425 ns: Error: Test error!
at 150480 ns: Error: Test error!
at 150535 ns: Error: Test error!
at 150925 ns: Error: Test error!
at 151020 ns: Error: Test error!
at 151075 ns: Error: Test error!
at 151130 ns: Error: Test error!
at 151520 ns: Error: Test error!
at 151615 ns: Error: Test error!
at 151670 ns: Error: Test error!
at 151725 ns: Error: Test error!
at 152115 ns: Error: Test error!
at 152210 ns: Error: Test error!
at 152265 ns: Error: Test error!
at 152320 ns: Error: Test error!
at 152710 ns: Error: Test error!
at 152805 ns: Error: Test error!
at 152860 ns: Error: Test error!
at 152915 ns: Error: Test error!
at 152990 ns: Error: Test error!
at 153015 ns: Error: Test error!
at 153040 ns: Error: Test error!
at 153065 ns: Error: Test error!
at 153090 ns: Error: Test error!
at 153115 ns: Error: Test error!
at 153140 ns: Error: Test error!
at 153165 ns: Error: Test error!
at 153190 ns: Error: Test error!
at 153215 ns: Error: Test error!
at 153240 ns: Error: Test error!
at 153265 ns: Error: Test error!
at 153290 ns: Error: Test error!
at 153315 ns: Error: Test error!
at 153340 ns: Error: Test error!
at 153365 ns: Error: Test error!
at 153390 ns: Error: Test error!
at 153415 ns: Error: Test error!
at 153440 ns: Error: Test error!
at 153465 ns: Error: Test error!
at 153490 ns: Error: Test error!
at 153515 ns: Error: Test error!
at 153540 ns: Error: Test error!
at 153565 ns: Error: Test error!
at 153590 ns: Error: Test error!
at 153615 ns: Error: Test error!
at 153640 ns: Error: Test error!
at 153665 ns: Error: Test error!
at 153690 ns: Error: Test error!
at 153715 ns: Error: Test error!
at 153740 ns: Error: Test error!
at 153765 ns: Error: Test error!
at 153790 ns: Error: Test error!
at 153815 ns: Error: Test error!
at 153840 ns: Error: Test error!
at 153865 ns: Error: Test error!
at 153890 ns: Error: Test error!
at 153915 ns: Error: Test error!
at 153940 ns: Error: Test error!
at 153965 ns: Error: Test error!
at 153990 ns: Error: Test error!
at 154015 ns: Error: Test error!
at 154040 ns: Error: Test error!
at 154065 ns: Error: Test error!
at 154090 ns: Error: Test error!
at 154115 ns: Error: Test error!
at 154140 ns: Error: Test error!
at 154165 ns: Error: Test error!
at 154190 ns: Error: Test error!
at 154215 ns: Error: Test error!
at 154240 ns: Error: Test error!
at 154265 ns: Error: Test error!
at 154290 ns: Error: Test error!
at 154315 ns: Error: Test error!
at 154340 ns: Error: Test error!
at 154365 ns: Error: Test error!
at 154390 ns: Error: Test error!
at 154415 ns: Error: Test error!
at 154440 ns: Error: Test error!
at 154465 ns: Error: Test error!
at 154490 ns: Error: Test error!
at 154515 ns: Error: Test error!
at 154540 ns: Error: Test error!
at 154565 ns: Error: Test error!
at 154590 ns: Error: Test error!
at 154615 ns: Error: Test error!
at 154640 ns: Error: Test error!
at 154665 ns: Error: Test error!
at 154690 ns: Error: Test error!
at 154715 ns: Error: Test error!
at 154740 ns: Error: Test error!
at 154765 ns: Error: Test error!
at 154790 ns: Error: Test error!
at 154815 ns: Error: Test error!
at 154840 ns: Error: Test error!
at 154865 ns: Error: Test error!
at 154890 ns: Error: Test error!
at 154915 ns: Error: Test error!
at 154940 ns: Error: Test error!
at 154965 ns: Error: Test error!
at 154990 ns: Error: Test error!
at 155015 ns: Error: Test error!
at 155040 ns: Error: Test error!
at 155065 ns: Error: Test error!
at 155090 ns: Error: Test error!
at 155115 ns: Error: Test error!
at 155140 ns: Error: Test error!
at 155165 ns: Error: Test error!
at 155190 ns: Error: Test error!
at 155215 ns: Error: Test error!
at 155240 ns: Error: Test error!
at 155265 ns: Error: Test error!
at 155290 ns: Error: Test error!
at 155315 ns: Error: Test error!
at 155340 ns: Error: Test error!
at 155365 ns: Error: Test error!
at 155390 ns: Error: Test error!
at 155415 ns: Error: Test error!
at 155440 ns: Error: Test error!
at 155465 ns: Error: Test error!
at 155490 ns: Error: Test error!
at 155515 ns: Error: Test error!
at 155540 ns: Error: Test error!
at 155565 ns: Error: Test error!
at 155590 ns: Error: Test error!
at 155615 ns: Error: Test error!
at 155640 ns: Error: Test error!
at 155665 ns: Error: Test error!
at 155690 ns: Error: Test error!
at 155715 ns: Error: Test error!
at 155740 ns: Error: Test error!
at 155765 ns: Error: Test error!
at 155790 ns: Error: Test error!
at 155815 ns: Error: Test error!
at 155840 ns: Error: Test error!
at 155865 ns: Error: Test error!
at 155890 ns: Error: Test error!
at 155915 ns: Error: Test error!
at 155940 ns: Error: Test error!
at 155965 ns: Error: Test error!
at 155990 ns: Error: Test error!
at 156015 ns: Error: Test error!
at 156040 ns: Error: Test error!
at 156065 ns: Error: Test error!
at 156090 ns: Error: Test error!
at 156115 ns: Error: Test error!
at 156140 ns: Error: Test error!
at 156165 ns: Error: Test error!
at 156190 ns: Error: Test error!
at 156215 ns: Error: Test error!
at 156240 ns: Error: Test error!
at 156265 ns: Error: Test error!
at 156290 ns: Error: Test error!
at 156315 ns: Error: Test error!
at 156340 ns: Error: Test error!
at 156365 ns: Error: Test error!
at 156390 ns: Error: Test error!
at 156415 ns: Error: Test error!
at 156440 ns: Error: Test error!
at 156465 ns: Error: Test error!
at 156490 ns: Error: Test error!
at 156515 ns: Error: Test error!
at 156540 ns: Error: Test error!
at 156565 ns: Error: Test error!
at 156590 ns: Error: Test error!
at 156615 ns: Error: Test error!
at 156640 ns: Error: Test error!
at 156665 ns: Error: Test error!
at 156690 ns: Error: Test error!
at 156715 ns: Error: Test error!
at 156740 ns: Error: Test error!
at 156765 ns: Error: Test error!
at 156790 ns: Error: Test error!
at 156815 ns: Error: Test error!
at 156840 ns: Error: Test error!
at 156865 ns: Error: Test error!
at 156890 ns: Error: Test error!
at 156915 ns: Error: Test error!
at 156940 ns: Error: Test error!
at 156965 ns: Error: Test error!
at 156990 ns: Error: Test error!
at 157015 ns: Error: Test error!
at 157040 ns: Error: Test error!
at 157065 ns: Error: Test error!
at 157090 ns: Error: Test error!
at 157115 ns: Error: Test error!
at 157140 ns: Error: Test error!
at 157165 ns: Error: Test error!
at 157190 ns: Error: Test error!
at 157215 ns: Error: Test error!
at 157240 ns: Error: Test error!
at 157265 ns: Error: Test error!
at 157290 ns: Error: Test error!
at 157315 ns: Error: Test error!
at 157340 ns: Error: Test error!
at 157365 ns: Error: Test error!
at 157390 ns: Error: Test error!
at 157415 ns: Error: Test error!
at 157440 ns: Error: Test error!
at 157465 ns: Error: Test error!
at 157490 ns: Error: Test error!
at 157515 ns: Error: Test error!
at 157540 ns: Error: Test error!
at 157565 ns: Error: Test error!
at 157590 ns: Error: Test error!
at 157615 ns: Error: Test error!
at 157640 ns: Error: Test error!
at 157665 ns: Error: Test error!
at 157690 ns: Error: Test error!
at 157715 ns: Error: Test error!
at 157740 ns: Error: Test error!
at 157765 ns: Error: Test error!
at 157790 ns: Error: Test error!
at 157815 ns: Error: Test error!
at 157840 ns: Error: Test error!
at 157865 ns: Error: Test error!
at 157890 ns: Error: Test error!
at 157915 ns: Error: Test error!
at 157940 ns: Error: Test error!
at 157965 ns: Error: Test error!
at 157990 ns: Error: Test error!
at 158015 ns: Error: Test error!
at 158040 ns: Error: Test error!
at 158065 ns: Error: Test error!
at 158090 ns: Error: Test error!
at 158115 ns: Error: Test error!
at 158140 ns: Error: Test error!
at 158165 ns: Error: Test error!
at 158190 ns: Error: Test error!
at 158215 ns: Error: Test error!
at 158240 ns: Error: Test error!
at 158265 ns: Error: Test error!
at 158290 ns: Error: Test error!
at 158315 ns: Error: Test error!
at 158340 ns: Error: Test error!
at 158365 ns: Error: Test error!
at 158390 ns: Error: Test error!
at 158415 ns: Error: Test error!
at 158440 ns: Error: Test error!
at 158465 ns: Error: Test error!
at 158490 ns: Error: Test error!
at 158515 ns: Error: Test error!
at 158540 ns: Error: Test error!
at 158565 ns: Error: Test error!
at 158590 ns: Error: Test error!
at 158615 ns: Error: Test error!
at 158640 ns: Error: Test error!
at 158665 ns: Error: Test error!
at 158690 ns: Error: Test error!
at 158715 ns: Error: Test error!
at 158740 ns: Error: Test error!
at 158765 ns: Error: Test error!
at 158790 ns: Error: Test error!
at 158815 ns: Error: Test error!
at 158840 ns: Error: Test error!
at 158865 ns: Error: Test error!
at 158890 ns: Error: Test error!
at 158915 ns: Error: Test error!
at 158940 ns: Error: Test error!
at 158965 ns: Error: Test error!
at 158990 ns: Error: Test error!
at 159015 ns: Error: Test error!
at 159040 ns: Error: Test error!
at 159065 ns: Error: Test error!
at 159090 ns: Error: Test error!
at 159115 ns: Error: Test error!
at 159140 ns: Error: Test error!
at 159165 ns: Error: Test error!
at 159190 ns: Error: Test error!
at 159215 ns: Error: Test error!
at 159240 ns: Error: Test error!
at 159265 ns: Error: Test error!
at 159290 ns: Error: Test error!
at 159315 ns: Error: Test error!
at 159340 ns: Error: Test error!
at 159365 ns: Error: Test error!
at 159390 ns: Error: Test error!
at 159415 ns: Error: Test error!
at 159440 ns: Error: Test error!
at 159465 ns: Error: Test error!
at 159490 ns: Error: Test error!
at 159515 ns: Error: Test error!
at 159540 ns: Error: Test error!
at 159565 ns: Error: Test error!
at 159590 ns: Error: Test error!
at 159615 ns: Error: Test error!
at 159640 ns: Error: Test error!
at 159665 ns: Error: Test error!
at 159690 ns: Error: Test error!
at 159715 ns: Error: Test error!
at 159740 ns: Error: Test error!
at 159765 ns: Error: Test error!
at 159790 ns: Error: Test error!
at 159815 ns: Error: Test error!
at 159840 ns: Error: Test error!
at 159865 ns: Error: Test error!
at 159890 ns: Error: Test error!
at 159915 ns: Error: Test error!
at 159940 ns: Error: Test error!
at 159965 ns: Error: Test error!
at 159990 ns: Error: Test error!
at 160015 ns: Error: Test error!
at 160040 ns: Error: Test error!
at 160065 ns: Error: Test error!
at 160090 ns: Error: Test error!
at 160115 ns: Error: Test error!
